변환,원자료
2012-09-25,1119.80 
2012-09-26,1118.60 
2012-09-27,1120.70 
2012-09-28,1118.60 
2012-10-02,1112.90 
2012-10-04,1112.70 
2012-10-05,1113.30 
2012-10-08,1110.60 
2012-10-09,1111.30 
2012-10-10,1110.60 
2012-10-11,1114.30 
2012-10-12,1115.40 
2012-10-15,1111.10 
2012-10-16,1112.10 
2012-10-17,1107.10 
2012-10-18,1105.00 
2012-10-19,1104.80 
2012-10-22,1105.30 
2012-10-23,1105.10 
2012-10-24,1102.30 
2012-10-25,1103.70 
2012-10-26,1101.40 
2012-10-29,1096.50 
2012-10-30,1095.90 
2012-10-31,1094.10 
2012-11-01,1090.60 
2012-11-02,1090.90 
2012-11-05,1091.20 
2012-11-06,1091.70 
2012-11-07,1091.50 
2012-11-08,1087.10 
2012-11-09,1088.20 
2012-11-12,1089.60 
2012-11-13,1088.40 
2012-11-14,1090.30 
2012-11-15,1087.30 
2012-11-16,1086.70 
2012-11-19,1089.30 
2012-11-20,1086.90 
2012-11-21,1083.00 
2012-11-22,1083.20 
2012-11-23,1084.10 
2012-11-26,1086.30 
2012-11-27,1084.90 
2012-11-28,1084.10 
2012-11-29,1085.40 
2012-11-30,1084.70 
2012-12-03,1083.20 
2012-12-04,1083.50 
2012-12-05,1083.70 
2012-12-06,1082.50 
2012-12-07,1082.70 
2012-12-10,1082.60 
2012-12-11,1079.40 
2012-12-12,1077.30 
2012-12-13,1075.70 
2012-12-14,1072.30 
2012-12-17,1073.90 
2012-12-18,1072.90 
2012-12-20,1071.80 
2012-12-21,1073.40 
2012-12-24,1075.40 
2012-12-26,1074.80 
2012-12-27,1073.80 
2012-12-28,1072.50 
2012-12-31,1071.10 
2013-01-02,1071.10 
2013-01-03,1064.70 
2013-01-04,1063.80 
2013-01-07,1064.10 
2013-01-08,1063.40 
2013-01-09,1063.20 
2013-01-10,1062.10 
2013-01-11,1061.00 
2013-01-14,1056.50 
2013-01-15,1056.10 
2013-01-16,1055.40 
2013-01-17,1058.90 
2013-01-18,1058.20 
2013-01-21,1056.10 
2013-01-22,1060.00 
2013-01-23,1064.40 
2013-01-24,1065.40 
2013-01-25,1068.40 
2013-01-28,1071.80 
2013-01-29,1082.50 
2013-01-30,1088.00 
2013-01-31,1082.70 
2013-02-01,1088.90 
2013-02-04,1092.90 
2013-02-05,1089.00 
2013-02-06,1086.80 
2013-02-07,1088.80 
2013-02-08,1089.30 
2013-02-12,1093.80 
2013-02-13,1094.20 
2013-02-14,1086.40 
2013-02-15,1084.70 
2013-02-18,1079.00 
2013-02-19,1082.60 
2013-02-20,1081.40 
2013-02-21,1077.80 
2013-02-22,1084.10 
2013-02-25,1086.40 
2013-02-26,1087.40 
2013-02-27,1088.00 
2013-02-28,1085.40 
2013-03-04,1081.90 
2013-03-05,1091.40 
2013-03-06,1087.00 
